City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,Henderson,36.0397,-114.9819,73.0,7,1,21.85,US,2021-04-15 02:24:11
135,Beausejour,50.0622,-96.5167,34.0,69,100,5.75,CA,2021-04-15 02:24:11
136,Norman Wells,65.282,-126.8329,50.0,37,75,10.36,CA,2021-04-15 02:24:12
137,Tacana,15.2333,-92.0833,82.4,78,40,4.61,GT,2021-04-15 02:24:12
138,Amahai,-3.3333,128.9167,84.74,63,86,6.69,ID,2021-04-15 02:22:12
139,Mataura,-46.1927,168.8643,62.01,73,38,5.99,NZ,2021-04-15 02:24:12
140,Bathsheba,13.2167,-59.5167,77.0,73,20,8.05,BB,2021-04-15 02:24:13
141,Dingle,10.9995,122.6711,87.1,62,85,7.72,PH,2021-04-15 02:24:13
142,Abu Kamal,34.4506,40.9171,58.89,31,91,4.29,SY,2021-04-15 02:24:13
143,Los Alamos,35.8881,-106.307,55.0,12,40,13.8,US,2021-04-15 02:24:14
144,Mitha Tiwana,32.2486,72.1108,78.22,36,100,10.42,PK,2021-04-15 02:24:14
145,Jamestown,42.097,-79.2353,46.99,49,90,10.36,US,2021-04-15 02:24:14
146,Motygino,58.1831,94.7592,31.64,68,53,5.91,RU,2021-04-15 02:21:16
147,Kuito,-12.3833,16.9333,59.4,89,100,2.46,AO,2021-04-15 02:24:15
148,Ifo,6.8144,3.1958,82.4,83,20,3.96,NG,2021-04-15 02:24:15
149,Atasu,48.6814,71.6433,45.19,55,0,9.22,KZ,2021-04-15 02:24:15
150,San Ignacio,17.1561,-89.0714,82.4,69,0,6.91,BZ,2021-04-15 02:24:15
151,Toamasina,-18.1667,49.3833,71.6,100,40,6.11,MG,2021-04-15 02:24:16
152,Esperance,-33.8667,121.9,66.2,72,75,11.5,AU,2021-04-15 02:24:16
153,Sioux Lookout,50.1001,-91.917,28.4,93,90,6.91,CA,2021-04-15 02:24:16
154,Mahebourg,-20.4081,57.7,77.0,88,75,2.3,MU,2021-04-15 02:24:17
155,Bengkulu,-3.8004,102.2655,81.61,70,99,2.44,ID,2021-04-15 02:24:17
156,Maniwaki,46.3834,-75.966,48.2,81,90,3.44,CA,2021-04-15 02:24:17
157,Avarua,-21.2078,-159.775,82.4,69,20,6.91,CK,2021-04-15 02:24:18
158,Dudinka,69.4058,86.1778,12.97,94,100,12.48,RU,2021-04-15 02:24:18
159,Akyab,20.15,92.9,82.15,74,54,0.92,MM,2021-04-15 02:21:10
160,Saint-Philippe,-21.3585,55.7679,73.4,83,40,5.75,RE,2021-04-15 02:24:18
161,Lagoa,39.05,-27.9833,60.69,87,43,10.56,PT,2021-04-15 02:24:19
162,Praia Da Vitoria,38.7333,-27.0667,57.99,94,0,3.4,PT,2021-04-15 02:24:19
163,Ust-Ilimsk,58.0006,102.6619,31.14,72,80,7.36,RU,2021-04-15 02:24:19
164,Mar Del Plata,-38.0023,-57.5575,62.01,88,0,5.75,AR,2021-04-15 02:20:06
165,Sarahan,31.5167,77.8,54.14,40,38,6.24,IN,2021-04-15 02:24:20
166,Port Lincoln,-34.7333,135.8667,67.08,48,18,11.21,AU,2021-04-15 02:19:30
167,Asau,46.4333,26.4,39.0,68,100,4.0,RO,2021-04-15 02:20:09
168,Vardo,70.3705,31.1107,32.59,71,37,21.92,NO,2021-04-15 02:24:20
169,Andros Town,24.7,-77.7667,71.6,73,20,8.05,BS,2021-04-15 02:24:20
170,Kidal,18.4411,1.4078,87.75,8,0,12.01,ML,2021-04-15 02:12:34
171,Cukai,4.25,103.4167,84.2,79,20,3.44,MY,2021-04-15 02:24:21
172,Novokruchininskiy,51.7833,113.7667,37.4,32,97,6.71,RU,2021-04-15 02:24:21
173,Galveston,29.3669,-94.9669,72.0,83,90,14.97,US,2021-04-15 02:24:22
174,Saldanha,-33.0117,17.9442,68.0,56,53,3.44,ZA,2021-04-15 02:24:22
175,Ribeira Grande,38.5167,-28.7,61.68,89,37,7.94,PT,2021-04-15 02:24:22
